2025-10-30 07:50:40.152 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-10-30 07:50:40.155 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-30 07:50:40.155 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-10-30 07:50:40.232 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-30 07:50:40.233 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1393 ms
2025-10-30 07:50:41.190 [main] INFO  com.zaxxer.hikari.HikariDataSource - tg-nails-pool - Starting...
2025-10-30 07:50:41.373 [main] INFO  com.zaxxer.hikari.pool.HikariPool - tg-nails-pool - Added connection org.postgresql.jdbc.PgConnection@77ccded4
2025-10-30 07:50:41.375 [main] INFO  com.zaxxer.hikari.HikariDataSource - tg-nails-pool - Start completed.
2025-10-30 07:50:41.478 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-10-30 07:50:41.840 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/tg_nails (PostgreSQL 17.5)
2025-10-30 07:50:41.850 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 17.5 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 16.
2025-10-30 07:50:41.892 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.030s)
2025-10-30 07:50:41.905 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
2025-10-30 07:50:41.918 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "public" to version "3 - add telegram id to masters"
2025-10-30 07:50:41.947 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "public", now at version v3 (execution time 00:00.014s)
2025-10-30 07:50:42.029 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-10-30 07:50:42.049 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-10-30 07:50:42.063 [main] INFO  r.c.t.TgbotNailsApplicationKt - Started TgbotNailsApplicationKt in 3.733 seconds (process running for 4.373)
2025-10-30 09:43:24.811 [main] INFO  r.c.t.TgbotNailsApplicationKt - Starting TgbotNailsApplicationKt using Java 17.0.15 with PID 17356 (D:\Projects\Education\tgbot_nails\build\classes\kotlin\main started by DSFPW in D:\Projects\Education\tgbot_nails)
2025-10-30 09:43:24.813 [main] INFO  r.c.t.TgbotNailsApplicationKt - No active profile set, falling back to 1 default profile: "default"
2025-10-30 09:43:26.287 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-10-30 09:43:26.312 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-10-30 09:43:26.317 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-30 09:43:26.317 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-10-30 09:43:26.441 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-30 09:43:26.443 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1565 ms
2025-10-30 09:43:27.464 [main] INFO  com.zaxxer.hikari.HikariDataSource - tg-nails-pool - Starting...
2025-10-30 09:43:27.644 [main] INFO  com.zaxxer.hikari.pool.HikariPool - tg-nails-pool - Added connection org.postgresql.jdbc.PgConnection@2c8ff67
2025-10-30 09:43:27.646 [main] INFO  com.zaxxer.hikari.HikariDataSource - tg-nails-pool - Start completed.
2025-10-30 09:43:27.756 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-10-30 09:43:28.118 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/tg_nails (PostgreSQL 17.5)
2025-10-30 09:43:28.129 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 17.5 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 16.
2025-10-30 09:43:28.172 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.031s)
2025-10-30 09:43:28.185 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 3
2025-10-30 09:43:28.187 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2025-10-30 09:43:28.272 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
